Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,447,443,601,82.36%,1.31,00:01:06,0.00%,0,$0.00
Ukraine,297,296,309,96.12%,1.06,00:00:02,0.00%,0,$0.00
Russia,224,224,228,97.37%,1.06,00:00:03,0.00%,0,$0.00
Spain,110,110,116,95.69%,1.08,00:00:12,0.00%,0,$0.00
Italy,94,94,102,98.04%,1.02,00:00:15,0.00%,0,$0.00
Portugal,53,53,56,96.43%,1.07,00:00:03,0.00%,0,$0.00
Belarus,52,52,54,98.15%,1.07,00:00:04,0.00%,0,$0.00
Greece,28,28,28,100.00%,1.00,00:00:00,0.00%,0,$0.00
Romania,25,25,29,96.55%,1.03,00:00:01,0.00%,0,$0.00
Albania,21,21,21,90.48%,1.10,00:00:17,0.00%,0,$0.00
Serbia,21,21,21,95.24%,1.05,00:00:01,0.00%,0,$0.00
France,17,17,17,100.00%,1.00,00:00:00,0.00%,0,$0.00
Croatia,17,17,17,94.12%,1.12,00:01:08,0.00%,0,$0.00
Bulgaria,14,14,15,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bosnia & Herzegovina,13,13,17,100.00%,1.00,00:00:00,0.00%,0,$0.00
Canada,13,13,16,75.00%,1.25,00:01:22,0.00%,0,$0.00
Hungary,13,13,13,100.00%,1.00,00:00:00,0.00%,0,$0.00
Japan,12,11,12,66.67%,1.67,00:00:39,0.00%,0,$0.00
Lithuania,12,12,12,100.00%,1.00,00:00:00,0.00%,0,$0.00
Germany,11,9,26,96.15%,1.08,00:00:14,0.00%,0,$0.00
Latvia,10,10,10,90.00%,1.10,00:00:02,0.00%,0,$0.00
Moldova,10,10,11,100.00%,1.00,00:00:00,0.00%,0,$0.00
Netherlands,9,9,9,100.00%,1.00,00:00:00,0.00%,0,$0.00
Poland,7,7,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
Taiwan,7,6,7,42.86%,2.00,00:03:11,0.00%,0,$0.00
United Kingdom,6,6,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
Austria,5,5,5,80.00%,1.20,00:00:02,0.00%,0,$0.00
Belgium,5,5,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Montenegro,5,5,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Macedonia (FYROM),4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Norway,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Slovakia,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Denmark,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Finland,2,2,2,50.00%,1.50,00:01:14,0.00%,0,$0.00
Ireland,2,2,2,50.00%,1.50,00:00:17,0.00%,0,$0.00
Panama,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
United Arab Emirates,1,1,4,75.00%,1.25,00:00:24,0.00%,0,$0.00
Czechia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Georgia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hong Kong,1,1,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Iraq,1,1,1,0.00%,2.00,00:01:11,0.00%,0,$0.00
Jersey,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
South Korea,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Luxembourg,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Malta,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nicaragua,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Philippines,1,1,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Puerto Rico,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Slovenia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Thailand,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kosovo,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Total,"1,594","1,584","1,819",91.31%,1.15,00:00:27,0.00%,0,$0.00
